question,reference,generated,bertscore_f1,bertscore_precision,bertscore_recall
What is the second sense in which the term abduction is used in the philosophical literature?,"In the second sense, the term abduction refers to the place of explanatory reasoning in justifying hypotheses. In this sense, it is also often called “Inference to the Best Explanation.”","In the second sense, abduction is used to refer to the process of making inferences, including the step of selecting a hypothesis to explain a particular fact, which is also known as ""hypothesis testing.""",0.9035163521766663,0.8946064710617065,0.9126054644584656
What is the modern sense of abduction concerned with?,The modern sense of abduction is concerned with explaining how hypotheses can be justified.,The modern sense of abduction is concerned with explaining how hypotheses are justified.,0.9934936165809631,0.9960919618606567,0.9909087419509888
What type of reasoning is the speaker engaging in when she concludes that Tim and Harry are friends again?,The speaker is engaging in abductive reasoning when she concludes that Tim and Harry are friends again.,The speaker is engaging in abduction when she concludes that Tim and Harry are friends again. Abduction is a type of reasoning that relies on inferences to the best explanation.,0.9520868062973022,0.9289586544036865,0.9763960242271423
What is an example of abduction that is also referred to as “Inference to the Best Explanation”?,"An example of abduction that is also referred to as “Inference to the Best Explanation” is seeing what looks like a picture of Winston Churchill in the sand and inferring that someone intentionally drew a picture of Churchill in the sand, as opposed to the more complex explanation that it is the trace of an ant crawling on the beach.","An example of abduction that is also referred to as ""Inference to the Best Explanation"" is when a scientist observes that trees have leaves, and then abduces that all trees have leaves. This is because the inference to the best explanation is often used in this way, where the best explanation is assumed to be the one that explains the observed data in the simplest way.",0.8862743377685547,0.8868463635444641,0.8857030272483826
What is the name of the type of inference that is used when the best explanation of a fact is inferred?,"The type of inference that is used when the best explanation of a fact is inferred is called abduction or, somewhat more commonly nowadays, Inference to the Best Explanation.","The type of inference that is used when the best explanation of a fact is inferred is called abduction or, more commonly, abduction. (This is also known as ""inference to the best explanation."")",0.9581177830696106,0.9525631666183472,0.9637374877929688
What is the distinction between deductive inferences and inductive/abductive inferences?,"The distinction between deductive inferences and inductive/abductive inferences corresponds to the distinction between necessary and non-necessary inferences. In deductive inferences, what is inferred is necessarily true if the premises from which it is inferred are true; that is, the truth of the premises guarantees the truth of the conclusion. In contrast, in inductive and abductive inferences, the truth of the premises does not guarantee the truth of the conclusion.","The distinction between deductive inferences and inductive/abductive inferences is whether the conclusion follows directly from the premises, or whether the reasoning leads to an inference that also leads to the conclusion. In deductive inferences, the conclusion follows directly from the premises; in inductive/abductive inferences, the reasoning leads to an inference that also leads to the conclusion.",0.9076981544494629,0.9124147891998291,0.9030300378799438
What is an example of a case where the truth of the premises does not guarantee the truth of the conclusion?,"An example of a case where the truth of the premises does not guarantee the truth of the conclusion is when we infer that ""John is rich"" from ""John lives in Chelsea"" and ""Most people living in Chelsea are rich"". It is logically compatible with the truth of the premises that John is a member of the minority of non-rich inhabitants of Chelsea.","An example of a case where the truth of the premises does not guarantee the truth of the conclusion is when a person decides to buy a new car and has a prior preference for a sports car, and the truth of the premises (i.e., buying a car is a good idea) guarantees the truth of the conclusion that one should buy a sports car. In this case, it is not clear whether one should buy a car or not.",0.8961552977561951,0.8931039571762085,0.8992275595664978
What is the definition of inductive inferences?,"Inductive inferences are those inferences that are based purely on statistical data, such as observed frequencies of occurrences of a particular feature in a given population.",Inductive inferences are inferences that are based on a sample of observations that are believed to be representative of the whole distribution of the relevant observations. This distribution may be known only in hindsight or may be unknown altogether.,0.8926361203193665,0.8772274851799011,0.9085958003997803
What type of reasoning does Harman conceive induction as?,Harman conceives induction as a special type of abduction.,Harman conceives induction as a type of abduction.,0.9887094497680664,0.9932457804679871,0.9842143654823303
What is the difference between abduction and induction?,"Abduction and induction are both ampliative, meaning that the conclusion goes beyond what is (logically) contained in the premises. However, in abduction there is an implicit or explicit appeal to explanatory considerations, whereas in induction there is not. In induction, there is only an appeal to observed frequencies or statistics, while in abduction there may also be an appeal to frequencies or statistics.","Abduction is the process of inferring a hypothesis or law from a subset of available explanations, while induction is the process of inferring a general law or rule from a sample of observations. Both are types of inference, but abduction is usually used in hypothetical reasoning and induction in observational reasoning.",0.8569775223731995,0.8610140085220337,0.8529786467552185
