question,reference,generated,bertscore_f1,bertscore_precision,bertscore_recall
What is the second sense in which the term abduction is used in the philosophical literature?,"In the second sense, the term abduction refers to the place of explanatory reasoning in justifying hypotheses. In this sense, it is also often called “Inference to the Best Explanation.”","In the second sense, abduction is used to refer to a type of reasoning that is commonly employed in scientific research, where the truth of the hypotheses being tested is inferred from observed data.",0.9001744985580444,0.8999171257019043,0.9004319310188293
What is the modern sense of abduction concerned with?,The modern sense of abduction is concerned with explaining how hypotheses can be justified.,"The modern sense of abduction is concerned with explaining how hypotheses are justified. C.S. Lewis called it ""hypothesis-taking.""",0.9528428316116333,0.9244354963302612,0.9830514192581177
What type of reasoning is the speaker engaging in when she concludes that Tim and Harry are friends again?,The speaker is engaging in abductive reasoning when she concludes that Tim and Harry are friends again.,The speaker is engaging in abduction when she concludes that Tim and Harry are friends again.,0.9670959711074829,0.9733357429504395,0.9609357714653015
What is an example of abduction that is also referred to as “Inference to the Best Explanation”?,"An example of abduction that is also referred to as “Inference to the Best Explanation” is seeing what looks like a picture of Winston Churchill in the sand and inferring that someone intentionally drew a picture of Churchill in the sand, as opposed to the more complex explanation that it is the trace of an ant crawling on the beach.","An example of abduction that is also referred to as “Inference to the Best Explanation” is the argument that the Earth is not flat, because if the Earth is not flat, then there is a better-informed abduction reason to believe that the best explanation for why the surface of the Earth is not circular is a flat model.",0.8851636648178101,0.8850724697113037,0.8852549195289612
What is the name of the type of inference that is used when the best explanation of a fact is inferred?,"The type of inference that is used when the best explanation of a fact is inferred is called abduction or, somewhat more commonly nowadays, Inference to the Best Explanation.","The type of inference that is used when the best explanation of a fact is inferred is called abduction or, in the philosophical literature, abduction. (Or, in some cases, the more specific type of inference called inference to the best explanation.)",0.9425947666168213,0.9330613613128662,0.9523249864578247
What is the distinction between deductive inferences and inductive/abductive inferences?,"The distinction between deductive inferences and inductive/abductive inferences corresponds to the distinction between necessary and non-necessary inferences. In deductive inferences, what is inferred is necessarily true if the premises from which it is inferred are true; that is, the truth of the premises guarantees the truth of the conclusion. In contrast, in inductive and abductive inferences, the truth of the premises does not guarantee the truth of the conclusion.","The distinction between deductive inferences and inductive/abductive inferences is whether the conclusion follows directly from the premises and whether this conclusion is considered to be the best explanation of the matter in question. Deductive inferences are those in which the best explanation of the matter in question is the one inferred from the evidence, while inductive/abductive inferences are those in which the best explanation of the matter in question is not necessarily the one inferred.",0.8958879709243774,0.8907169103622437,0.9011194705963135
What is an example of a case where the truth of the premises does not guarantee the truth of the conclusion?,"An example of a case where the truth of the premises does not guarantee the truth of the conclusion is when we infer that ""John is rich"" from ""John lives in Chelsea"" and ""Most people living in Chelsea are rich"". It is logically compatible with the truth of the premises that John is a member of the minority of non-rich inhabitants of Chelsea.","An example of a case where the truth of the premises does not guarantee the truth of the conclusion is when a person decides to buy a new car and has a prior preference for a sports car, even though the truth of the premises indicates that a SUV is the best choice. This is because the truth of the premises does not guarantee that the sports car will be the best choice, but only that the sports car will be the one that the person decides to buy. However, the decision to buy the sports car may still be rational and make sense based on the information available at the time of decision-making.",0.8808143734931946,0.8710746765136719,0.8907744288444519
What is the definition of inductive inferences?,"Inductive inferences are those inferences that are based purely on statistical data, such as observed frequencies of occurrences of a particular feature in a given population.",Inductive inferences are inferences that are based on a sample of observations that are assumed to be representative of the whole population of observations that would be generated if the situation in question were repeated repeatedly.,0.9026082158088684,0.8935753703117371,0.9118255376815796
What type of reasoning does Harman conceive induction as?,Harman conceives induction as a special type of abduction.,Harman conceives induction as a type of abduction.,0.9887095093727112,0.9932458400726318,0.9842144250869751
What is the difference between abduction and induction?,"Abduction and induction are both ampliative, meaning that the conclusion goes beyond what is (logically) contained in the premises. However, in abduction there is an implicit or explicit appeal to explanatory considerations, whereas in induction there is not. In induction, there is only an appeal to observed frequencies or statistics, while in abduction there may also be an appeal to frequencies or statistics.","Abduction is the process of inferring a hypothesis or law from a subset of available explanations, while induction is the process of inferring a law or hypothesis from a set of observations. Both are types of inference, but abduction is usually used in hypothetical reasoning, while induction is usually used in descriptive reasoning.",0.8622220754623413,0.8655575513839722,0.8589122891426086
